,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
98,2300,90,mean,-0.9581249999999868,-0.958124999999987,-1.2887878787878855,0.8462378787878778,-0.3898847880059454,-0.3898847880059454,-1.1587419764720812,0.7869718800241924
99,2300,90,std,0.7850712593926203,0.7850712593926203,0.6351622702580513,0.2816363089327353,0.6203421054583692,0.6203421054583692,0.7399744128473853,0.37923247203250104
100,2300,95,mean,-0.969166666666654,-0.969166666666654,-1.5587878787878704,0.8763878787878785,-0.44411560826390584,-0.44411560826390584,-1.386018868244349,0.7907328607564649
101,2300,95,std,0.9974111772829761,0.9974111772829761,0.7900330337271152,0.2277102851211516,0.7424041431193645,0.7424041431193645,0.8740556727905937,0.368942287650264
102,2350,Avg,mean,0.0425531914893617,0.0425531914893617,0.0,0.8724242424242358,3.791467677359362e-05,3.791467677359362e-05,0.0,0.796642635082677
103,2350,Avg,std,0.20184889470838233,0.20184889470838233,0.0,0.25514318796661967,0.00025134472351907546,0.00025134472351907546,0.0,0.36985915687135906
104,2350,90,mean,-0.9092553191488362,-0.9092553191488364,-1.211818181818541,0.8887742424242411,-0.3581963085752775,-0.3581963085752775,-1.126860401950637,0.7731168448623715
105,2350,90,std,0.7407184936989748,0.7407184936989748,0.6962782092952394,0.2058004346599719,0.6332463846992548,0.6332463846992549,0.7373460752757632,0.37995463576779487
106,2350,95,mean,-1.005957446808393,-1.0059574468083932,-1.4703030303023268,0.8441939393939293,-0.40447511331632174,-0.40447511331632185,-1.3431475896521679,0.7620696020822079
107,2350,95,std,0.8859042492810798,0.8859042492810799,0.7848330417347871,0.2678326316173645,0.7593020004679005,0.7593020004679006,0.8787043210806906,0.3940387247482854
108,2400,Avg,mean,0.06666666666666667,0.06666666666666667,0.0,0.9159375,0.00786289394985047,0.007862893949850472,0.0,0.8161534722222221
109,2400,Avg,std,0.24944575052808454,0.24944575052808454,0.0,0.15258024237849535,0.04911965378530297,0.04911965378530297,0.0,0.3413197245703186
110,2400,90,mean,-0.681,-0.681,-1.4185937500000005,0.9132796875000001,-0.2493337070738117,-0.2493337070738117,-1.1583789140959548,0.7840697184072029
111,2400,90,std,0.8353258121762119,0.835325812176212,0.5089047557042203,0.16558888425847137,0.5566736721805393,0.5566736721805393,0.7251429458076281,0.36910758428128004
112,2400,95,mean,-0.8213333333333358,-0.8213333333333358,-1.6237499999999983,0.8549250000000002,-0.3081316851534958,-0.3081316851534958,-1.361301997425832,0.773505528878356
113,2400,95,std,0.9340488431927817,0.9340488431927817,0.638977494365913,0.27958117002890587,0.6596778161004451,0.659677816100445,0.8892376265869258,0.38242795197951135
114,2450,Avg,mean,0.09090909090909091,0.09090909090909091,0.0,0.8721874999999998,0.0012048794360650658,0.0012048794360650658,0.0,0.7899394683652277
115,2450,Avg,std,0.2874821074977743,0.28748210749777436,0.0,0.2525235021907665,0.004103559324522686,0.004103559324522686,0.0,0.3685238208039091
116,2450,90,mean,-0.953863636363637,-0.9538636363636372,-1.2809374999999903,0.8495921874999991,-0.3302263672566591,-0.330226367256659,-1.1025599631366831,0.7495995759193067
117,2450,90,std,0.9092233238707965,0.9092233238707964,0.6074385890948769,0.2463442019274913,0.5582954585540236,0.5582954585540235,0.7528741374626112,0.39722875685789416
118,2450,95,mean,-1.0809090909090877,-1.0809090909090877,-1.5162499999999899,0.8166749999999996,-0.3652987409387104,-0.36529874093871045,-1.3189334283860161,0.7407993148885866
119,2450,95,std,0.8945762329367634,0.8945762329367634,0.7228031340212516,0.31624531412661555,0.6533701947020151,0.653370194702015,0.8922286850999898,0.4070895772417668
120,2500,Avg,mean,0.09090909090909091,0.09090909090909091,0.03125,0.8896874999999991,0.007928714290867634,0.007928714290867635,0.00012807377049180326,0.7771149130285928
121,2500,Avg,std,0.2874821074977743,0.28748210749777436,0.17399404060902465,0.20543541217651234,0.038602781117745635,0.03860278111774564,0.0007130903303648553,0.3720810434019707
122,2500,90,mean,-0.6428409090909317,-0.6428409090909316,-1.1859374999999581,0.8602546874999913,-0.28045913119588395,-0.28045913119588395,-1.087577865099863,0.7377660340429893
123,2500,90,std,0.9119218032706542,0.9119218032706543,0.778819924249049,0.25771575477589237,0.5530022924578178,0.5530022924578178,0.7725345464177347,0.3997582270139473
124,2500,95,mean,-0.833636363636362,-0.8336363636363621,-1.3937499999999774,0.845975,-0.3312583827349913,-0.33125838273499125,-1.249925687446866,0.7279236089851212
125,2500,95,std,1.0214846509648159,1.0214846509648159,0.916310258767785,0.25702137203775516,0.6615857350218683,0.6615857350218683,0.9210035500899827,0.4092847556405612
